year,county,hospital,oshpdid,procedure_condition,risk_adjusted_mortality_rate,number_of_deaths,number_of_cases,longitude,latitude,hospital_ratings
2012,AAAA,STATEWIDE,,Acute Stroke Hemorrhagic,23,2432,10576,,,
2012,AAAA,STATEWIDE,,Hip Fracture,2.3,552,23774,,,
2012,AAAA,STATEWIDE,,Pancreatic Resection,2.4,41,1724,,,
2012,AAAA,STATEWIDE,,Acute Stroke,9.6,5227,54191,,,
2012,AAAA,STATEWIDE,,Acute Stroke Subarachnoid,23.8,645,2715,,,
2012,AAAA,STATEWIDE,,Heart Failure,3,2458,81250,,,
2012,AAAA,STATEWIDE,,Carotid Endarterectomy,0.5,31,6407,,,
2012,AAAA,STATEWIDE,,Craniotomy,7.1,1065,15030,,,
2012,AAAA,STATEWIDE,,AAA Repair,1.1,26,2437,,,
2012,AAAA,STATEWIDE,,Pancreatic Cancer,2,19,930,,,
2012,Alameda,Alameda Hospital,106010735,PCI,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,AMI,5.5,4,41,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Ischemic,2.3,1,60,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Pancreatic Resection,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,GI Hemorrhage,1.3,1,65,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Carotid Endarterectomy,0,0,5,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Espophageal Resection,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Hemorrhagic,25.1,5,11,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Craniotomy,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Heart Failure,2.6,5,139,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Acute Stroke,8.8,7,72,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Pancreatic Other,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Subarachnoid,,,,-122.25362,37.762953,As Expected
